iter	Passed	Remaining
598	12065	28220
599	12085	28199
600	12106	28180
601	12126	28161
602	12148	28145
603	12168	28125
604	12187	28102
605	12208	28082
606	12226	28059
607	12246	28037
608	12266	28017
609	12287	27998
610	12305	27974
611	12324	27951
612	12343	27929
613	12362	27906
614	12383	27888
615	12403	27868
616	12423	27846
617	12442	27824
618	12462	27803
619	12482	27782
620	12501	27760
621	12525	27748
622	12546	27731
623	12568	27714
624	12588	27694
625	12609	27675
626	12629	27655
627	12655	27647
628	12676	27629
629	12695	27608
630	12715	27586
631	12734	27564
632	12753	27541
633	12773	27520
634	12796	27507
635	12816	27487
636	12836	27466
637	12858	27449
638	12877	27427
639	12897	27406
640	12916	27385
641	12937	27365
642	12959	27350
643	12979	27329
644	13000	27310
645	13020	27291
646	13040	27270
647	13060	27250
648	13082	27233
649	13101	27211
650	13122	27192
651	13144	27175
652	13163	27153
653	13183	27133
654	13202	27109
655	13221	27088
656	13241	27068
657	13263	27050
658	13283	27031
659	13303	27010
660	13321	26986
661	13342	26966
662	13360	26943
663	13380	26922
664	13399	26899
665	13419	26879
666	13438	26857
667	13459	26838
668	13482	26823
669	13504	26806
670	13523	26784
671	13542	26762
672	13561	26739
673	13579	26716
674	13600	26697
675	13620	26676
676	13639	26654
677	13664	26643
678	13685	26624
679	13706	26606
680	13725	26584
681	13745	26562
682	13763	26540
683	13783	26519
684	13802	26497
685	13821	26474
686	13840	26452
687	13860	26430
688	13879	26409
689	13899	26388
690	13919	26369
691	13939	26347
692	13960	26329
693	13979	26306
694	14000	26288
695	14021	26269
696	14039	26246
697	14059	26224
698	14079	26205
699	14101	26188
700	14120	26166
701	14139	26143
702	14160	26124
703	14179	26103
704	14198	26081
705	14218	26059
706	14238	26040
707	14259	26020
708	14279	26001
709	14299	25980
710	14319	25960
711	14339	25940
712	14358	25918
713	14380	25900
714	14399	25878
715	14420	25860
716	14439	25838
717	14460	25818
718	14480	25798
719	14499	25777
720	14519	25755
721	14538	25733
722	14558	25714
723	14578	25693
724	14602	25681
725	14622	25659
726	14642	25639
727	14662	25619
728	14682	25599
729	14702	25577
730	14722	25558
731	14745	25542
732	14764	25519
733	14783	25498
734	14804	25479
735	14823	25458
736	14844	25438
737	14863	25416
738	14883	25396
739	14903	25376
740	14925	25358
741	14945	25339
742	14966	25320
743	14987	25300
744	15006	25278
745	15025	25257
746	15044	25235
747	15064	25215
748	15084	25194
749	15103	25173
750	15124	25153
751	15145	25135
752	15169	25120
753	15190	25102
754	15210	25082
755	15233	25067
756	15254	25047
757	15274	25027
758	15293	25005
759	15312	24983
760	15333	24964
761	15354	24945
762	15373	24923
763	15394	24904
764	15413	24883
765	15433	24863
766	15452	24840
767	15473	24822
768	15492	24800
769	15513	24781
770	15533	24760
771	15556	24744
772	15577	24725
773	15596	24705
774	15617	24685
775	15635	24662
776	15655	24641
777	15675	24622
778	15695	24601
779	15714	24579
780	15735	24559
781	15754	24539
782	15774	24518
783	15794	24498
784	15815	24478
785	15834	24456
786	15855	24438
787	15876	24418
788	15895	24397
789	15914	24375
790	15934	24354
791	15958	24340
792	15978	24320
793	15998	24299
794	16017	24277
795	16037	24258
796	16057	24236
797	16076	24215
798	16095	24193
799	16115	24173
800	16134	24151
801	16154	24130
802	16173	24108
803	16191	24086
804	16211	24065
805	16232	24045
806	16252	24026
807	16270	24003
808	16290	23982
809	16309	23961
810	16332	23944
811	16354	23926
812	16373	23905
813	16392	23884
814	16413	23864
815	16432	23843
816	16455	23827
817	16478	23811
818	16498	23790
819	16518	23770
820	16538	23749
821	16557	23727
822	16576	23706
823	16595	23684
824	16617	23667
825	16638	23648
826	16661	23632
827	16680	23610
828	16700	23589
829	16720	23569
830	16740	23550
831	16760	23529
832	16779	23507
833	16798	23486
834	16819	23466
835	16838	23445
836	16856	23422
837	16877	23403
838	16897	23382
839	16916	23361
840	16936	23341
841	16959	23323
842	16980	23304
843	17000	23284
844	17023	23268
845	17042	23247
846	17065	23230
847	17083	23208
848	17103	23187
849	17125	23170
850	17145	23149
851	17165	23128
852	17184	23107
853	17204	23087
854	17226	23069
855	17245	23047
856	17267	23029
857	17286	23008
858	17306	22988
859	17329	22971
860	17349	22951
861	17372	22934
862	17393	22916
863	17413	22895
864	17432	22874
865	17452	22854
866	17473	22834
867	17495	22816
868	17520	22802
869	17543	22785
870	17563	22765
871	17581	22743
872	17600	22721
873	17618	22698
874	17638	22677
875	17664	22665
876	17683	22643
877	17701	22620
878	17718	22596
879	17736	22573
880	17752	22547
881	17769	22523
882	17789	22503
883	17808	22482
884	17826	22459
885	17844	22436
886	17862	22413
887	17878	22388
888	17896	22365
889	17914	22343
890	17933	22321
891	17950	22296
892	17967	22273
893	17985	22250
894	18004	22228
895	18021	22205
896	18043	22187
897	18066	22170
898	18083	22146
899	18100	22122
900	18117	22099
901	18135	22076
902	18153	22053
903	18173	22033
904	18190	22009
905	18208	21987
906	18231	21969
907	18248	21946
908	18268	21926
909	18291	21909
910	18309	21887
911	18326	21863
912	18344	21840
913	18364	21820
914	18387	21804
915	18407	21783
916	18428	21764
917	18444	21739
918	18461	21716
919	18481	21695
920	18499	21672
921	18517	21650
922	18535	21628
923	18554	21606
924	18572	21584
925	18589	21560
926	18607	21537
927	18626	21517
928	18647	21497
929	18665	21475
930	18683	21452
931	18700	21429
932	18720	21408
933	18739	21387
934	18758	21366
935	18777	21345
936	18795	21323
937	18812	21299
938	18831	21278
939	18850	21256
940	18868	21234
941	18885	21211
942	18904	21189
